source,target,weight
M_25-29_E,M_18-24_D,598.5091237313105
M_25-29_E,M_80-plus_D,49.205819431295396
M_25-29_E,M_18-24_E,1543.44131276987
M_25-29_E,M_25-29_B,318.5156900140914
M_25-29_E,M_25-29_C,1441.5599903406342
M_25-29_E,F_30-39_A,127.74404799887483
M_25-29_E,F_70-79_A,21.537494608950485
M_25-29_E,F_30-39_C,2312.201749427889
M_25-29_E,M_40-49_C,2074.270101505234
M_25-29_E,M_18-24_B,456.2445494818746
M_25-29_E,M_30-39_A,143.5881943886134
M_25-29_E,F_80-plus_E,116.1504087405399
M_25-29_E,F_80-plus_D,45.066572286898
M_25-29_E,M_60-69_A,44.096592224073966
M_25-29_E,M_25-29_A,79.66440291933479
M_25-29_E,F_80-plus_A,8.611046803794151
M_25-29_E,F_40-49_A,101.77702757296562
M_25-29_E,M_40-49_D,601.0988821815561
M_25-29_E,F_70-79_B,86.01251946607782
M_25-29_E,F_60-69_B,162.2941515343323
M_25-29_E,F_18-24_C,1894.2620078038572
M_25-29_E,F_18-24_E,1415.5226527910975
M_25-29_E,M_70-79_D,125.10961020026846
M_25-29_E,M_18-24_C,2065.315127102657
M_25-29_E,F_70-79_E,290.9677316730462
M_25-29_E,F_18-24_B,418.4112018851181
M_25-29_E,M_30-39_E,1943.0240776218986
M_25-29_E,M_50-59_A,75.26850664009038
M_25-29_E,M_50-59_E,1018.5202303546865
M_25-29_E,F_25-29_D,362.1626160020844
M_25-29_E,F_25-29_B,276.2361140703016
M_25-29_E,F_40-49_C,1841.039181130182
M_25-29_E,F_60-69_E,550.4991457891309
M_25-29_E,F_40-49_D,533.5556792022298
M_25-29_E,M_80-plus_C,169.72614809361164
M_25-29_E,F_30-39_E,1728.1790526763132
M_25-29_E,M_50-59_D,394.96665181578237
M_25-29_E,M_70-79_E,322.45794603245275
M_25-29_E,M_80-plus_A,9.398132608417104
M_25-29_E,M_18-24_A,114.06113736912734
M_25-29_E,F_70-79_D,112.90737974871209
M_25-29_E,M_60-69_C,798.1614373083111
F_60-69_D,M_30-39_B,116.60597234175458
F_60-69_D,M_60-69_B,37.07607970978689
F_60-69_D,F_80-plus_C,36.6586559646807
F_60-69_D,M_40-49_A,25.898160702013037
F_60-69_D,M_30-39_C,528.0087295824843
F_60-69_D,F_30-39_D,141.03264206986128
F_60-69_D,M_40-49_B,103.59264280920861
F_60-69_D,M_50-59_C,306.89147369483135
F_60-69_D,F_30-39_B,107.51097392381982
F_60-69_D,F_50-59_C,300.9875769802531
F_60-69_D,M_60-69_E,125.40391568470454
F_60-69_D,F_40-49_E,328.12982347270884
F_60-69_D,F_50-59_A,16.613645843231886
F_60-69_D,F_60-69_A,9.883698409872226
F_60-69_D,F_80-plus_B,8.096895847446515
F_60-69_D,M_50-59_B,67.71660274353884
F_60-69_D,F_25-29_A,14.575715389556505
F_60-69_D,M_70-79_B,20.6933681369754
F_60-69_D,F_25-29_E,197.10217544966915
F_60-69_D,M_70-79_A,5.179226163064245
F_60-69_D,M_40-49_E,350.5253130438474
F_60-69_D,F_40-49_B,96.9789686442051
F_60-69_D,F_50-59_B,66.4241276500846
F_60-69_D,M_80-plus_B,8.320928876225347
F_60-69_D,F_60-69_C,178.964391732794
F_60-69_D,M_60-69_D,48.64766128663403
F_60-69_D,F_50-59_E,224.75596082486402
F_60-69_D,M_80-plus_E,28.1430364060327
F_60-69_D,F_25-29_C,263.8039956733907
F_60-69_D,F_18-24_A,21.630757161156968
F_60-69_D,F_18-24_D,113.52771922450454
F_60-69_D,M_30-39_D,153.00195455439837
F_60-69_D,F_70-79_C,90.90440606222799
F_60-69_D,M_25-29_D,82.81272402464064
F_60-69_D,M_70-79_C,93.84549114581681
F_60-69_D,M_18-24_D,135.3760000495381
F_60-69_D,M_80-plus_D,10.924415834062163
F_60-69_D,M_18-24_E,348.89744119791203
F_60-69_D,M_25-29_B,63.11765381966455
F_60-69_D,M_25-29_C,285.78130889479604
F_60-69_D,F_30-39_A,26.883901032083504
F_60-69_D,F_70-79_A,5.021353609254355
F_60-69_D,F_30-39_C,486.66483784283525
F_60-69_D,M_40-49_C,469.4629381830977
F_60-69_D,M_18-24_B,103.1111533720995
F_60-69_D,M_30-39_A,29.15149308509294
F_60-69_D,F_80-plus_E,27.37779133247254
F_60-69_D,F_80-plus_D,10.628558459801084
F_60-69_D,M_60-69_A,9.27325814251796
F_60-69_D,M_25-29_A,15.783014386872575
F_60-69_D,F_80-plus_A,2.0292861908066615
F_60-69_D,F_40-49_A,24.25028506095911
F_60-69_D,M_40-49_D,136.01305186418418
F_60-69_D,F_70-79_B,20.053576490983364
F_60-69_D,F_60-69_B,39.516908726880686
F_60-69_D,F_18-24_C,391.7814043393496
F_60-69_D,F_18-24_E,292.72375234795635
F_60-69_D,M_70-79_D,27.18463543616499
F_60-69_D,M_18-24_C,467.2621155732275
F_60-69_D,F_70-79_E,67.84945007327818
F_60-69_D,F_18-24_B,86.52302864565378
F_60-69_D,M_30-39_E,394.4990276326255
F_60-69_D,M_50-59_A,16.929150685694783
F_60-69_D,M_50-59_E,229.13771189926135
F_60-69_D,F_25-29_D,76.44800924667376
F_60-69_D,F_25-29_B,58.27615396003057
F_60-69_D,F_40-49_C,439.3537498614389
F_60-69_D,F_60-69_E,134.16328620149233
F_60-69_D,F_40-49_D,127.2984335912963
F_60-69_D,M_80-plus_C,37.68942989361062
F_60-69_D,F_30-39_E,363.702450948724
F_60-69_D,M_50-59_D,88.91173717102197
F_60-69_D,M_70-79_E,70.03319832055712
F_60-69_D,M_80-plus_A,2.0844949892547024
F_60-69_D,M_18-24_A,25.777788342738415
F_60-69_D,F_70-79_D,26.339873031763315
F_60-69_D,M_60-69_C,167.84245965798704
M_30-39_B,M_60-69_B,95.29502135125412
M_30-39_B,F_80-plus_C,85.05014002991248
M_30-39_B,M_40-49_A,61.890082074206816
M_30-39_B,M_30-39_C,1465.577404415615
M_30-39_B,F_30-39_D,380.0494731571454
M_30-39_B,M_40-49_B,247.56032829976903
M_30-39_B,M_50-59_C,755.6874847841178
M_30-39_B,F_30-39_B,289.77636786036703
M_30-39_B,F_50-59_C,702.6498769278425
M_30-39_B,M_60-69_E,322.32682617687055
M_30-39_B,F_40-49_E,758.0666092307183
M_30-39_B,F_50-59_A,38.84060933150693
M_30-39_B,F_60-69_A,22.162741033542833
M_30-39_B,F_80-plus_B,18.802257783154367
M_30-39_B,M_50-59_B,166.8900244186944
M_30-39_B,F_25-29_A,37.4556379433533
M_30-39_B,M_70-79_B,51.50176052167991
M_30-39_B,F_25-29_E,506.23422303267546
M_30-39_B,M_70-79_A,12.889939985442
M_30-39_B,M_40-49_E,837.4865448467293
M_30-39_B,F_40-49_B,224.14560836764824
M_30-39_B,F_50-59_B,155.21974510971236
M_30-39_B,M_80-plus_B,20.302591625987297
M_30-39_B,F_60-69_C,400.93762181668666
M_30-39_B,M_60-69_D,125.04498278022373
M_30-39_B,F_50-59_E,525.0971993182436
M_30-39_B,M_80-plus_E,68.65437266483016
M_30-39_B,F_25-29_C,677.4141094379405
M_30-39_B,F_18-24_A,57.01016078463366
M_30-39_B,F_18-24_D,299.1152529084912
M_30-39_B,M_30-39_D,424.694517861592
M_30-39_B,F_70-79_C,212.768839108196
M_30-39_B,M_25-29_D,222.71599125244813
M_30-39_B,M_70-79_C,233.39984412811896
M_30-39_B,M_18-24_D,327.22098587635986
M_30-39_B,M_80-plus_D,26.63573948814028
M_30-39_B,M_18-24_E,843.8054219652603
M_30-39_B,M_25-29_B,169.77863374850668
M_30-39_B,M_25-29_C,768.5434811685235
M_30-39_B,F_30-39_A,72.46071135784337
M_30-39_B,F_70-79_A,11.761097187867861
M_30-39_B,F_30-39_C,1311.4679757271886
